section,benefit,notes,MediShield Life,[Income] IncomeShield Plan C *,[Income] Enhanced IncomeShield C *,source_pdf,source_slug,source_page,source_table,repair_flags
Outpatient Treatment: | Patients receiving treatment for one primary cancer,- Cancer Drug Treatment,,"200 - 9,600 per month, depending on cancer drug treatment* (* Refer to the Cancer Drug List on the MOH website for the applicable claim limit)",3x MediShield Life limit/mth,3x MediShield Life limit/mth,01_basic.pdf,basic,2,1,
Outpatient Treatment: | Patients receiving treatment for one primary cancer,- Cancer Drug Services,,"3,600/yr","3x MediShield Life limit/yr (10,800/yr)","3x MediShield Life limit/yr (10,800/yr)",01_basic.pdf,basic,2,1,
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers,- Cancer Drug Treatment,,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,01_basic.pdf,basic,2,1,
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers,- Cancer Drug Services,,"7,200/yr","3x MediShield Life limit for multiple primary cancers (21,600/yr)","3x MediShield Life limit for multiple primary cancers (21,600/yr)",01_basic.pdf,basic,2,1,
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,- External (except Hemi-Body),,300/treatment,250/treatment,As Charged,01_basic.pdf,basic,2,1,
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,- Brachytherapy,,500/treatment,500/treatment,As Charged,01_basic.pdf,basic,2,1,forward_fill_from_previous:[Income] Enhanced IncomeShield C *
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,- Hemi-Body,,900/treatment,-,As Charged,01_basic.pdf,basic,2,1,forward_fill_from_previous:[Income] Enhanced IncomeShield C *
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,- Stereotactic,,"1,800/treatment","2,000/treatment",As Charged,01_basic.pdf,basic,2,1,forward_fill_from_previous:[Income] Enhanced IncomeShield C *
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,- Proton Beam Therapy - Category 1 [Note (6)],,300/treatment,250/treatment,Covered under Additional Benefits,01_basic.pdf,basic,2,1,
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,- Proton Beam Therapy - Category 2 [Note (6)],,500/treatment,500/treatment,Covered under Additional Benefits,01_basic.pdf,basic,2,1,forward_fill_from_previous:[Income] Enhanced IncomeShield C *
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,- Proton Beam Therapy - Category 3 [Note (6)],,"1,800/treatment","2,000/treatment",Covered under Additional Benefits,01_basic.pdf,basic,2,1,forward_fill_from_previous:[Income] Enhanced IncomeShield C *
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,Kidney Dialysis,,"1,100/mth","2,000/mth",As Charged (Pro-ration factor waived for applicable treatment by preferred partners) (Note (4)),01_basic.pdf,basic,2,1,
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,Immunosuppressants for Organ Transplant,,550/mth,400/mth,As Charged,01_basic.pdf,basic,2,1,
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,Erythropoietin for Chronic Kidney Failure,,200/mth,400/mth,As Charged,01_basic.pdf,basic,2,1,
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,Long-term Parenteral Nutrition,,"1,700/mth",-,As Charged,01_basic.pdf,basic,2,1,
